# Generated by Autoplot on Mon Oct 10 07:28:15 CDT 2011
# {"Proton_Density": {
#    "LABEL": "Proton Density (cm-3)",
#    "UNITS": "cm-3"
# }}
# TITLE: Proton Density (/cc)
# UNITS: cm-3
Epoch (cdfEpoch), Proton_Density (cm-3)
2003-05-01T18:23:26.174Z,    3.93
2003-05-01T18:25:56.042Z,    3.37
2003-05-01T18:28:25.907Z,    3.51
2003-05-01T18:30:55.773Z,    3.21
2003-05-01T18:33:25.634Z,    3.63
2003-05-01T18:35:55.497Z,    3.08
2003-05-01T18:38:25.367Z,    2.84
2003-05-01T18:40:55.226Z,    3.64
2003-05-01T18:43:25.088Z,    4.18
2003-05-01T18:45:54.956Z,    3.29
2003-05-01T18:48:24.818Z,    3.19
2003-05-01T18:50:54.687Z,    2.58
2003-05-01T18:53:24.550Z,    3.01
2003-05-01T18:55:54.415Z,    3.09
2003-05-01T18:58:24.279Z,    3.09
2003-05-01T19:00:54.144Z,    3.63
2003-05-01T19:03:24.012Z,    2.81
2003-05-01T19:05:53.867Z,    2.63
2003-05-01T19:08:23.739Z,    2.79
2003-05-01T19:10:53.601Z,    3.44
2003-05-01T19:13:23.464Z,    2.69
2003-05-01T19:15:53.330Z,    2.87
2003-05-01T19:18:23.197Z,    2.22
2003-05-01T19:20:53.060Z,    3.00
2003-05-01T19:23:22.924Z,    2.86
2003-05-01T19:25:52.791Z,    3.05
2003-05-01T19:28:22.657Z,    3.15
2003-05-01T19:30:52.521Z,    2.77
2003-05-01T19:33:22.381Z,    3.51
2003-05-01T19:35:52.251Z,    2.89
2003-05-01T19:38:22.112Z,    3.25
2003-05-01T19:40:51.976Z,    3.28
2003-05-01T19:43:21.838Z,    3.13
2003-05-01T19:45:51.708Z,    3.34
2003-05-01T19:48:21.570Z,    3.13
2003-05-01T19:50:51.435Z,    3.39
2003-05-01T19:53:21.300Z,    4.06
2003-05-01T19:55:51.163Z,    2.96
2003-05-01T19:58:21.033Z,    2.76
2003-05-01T20:00:50.893Z,    3.06
2003-05-01T20:03:20.757Z,    3.78
2003-05-01T20:05:50.623Z,    3.50
2003-05-01T20:08:20.487Z,    3.09
2003-05-01T20:10:50.349Z,    2.80
2003-05-01T20:13:20.217Z,    2.92
2003-05-01T20:15:50.083Z,    3.51
2003-05-01T20:18:19.948Z,    2.87
2003-05-01T20:20:49.809Z,    3.08
2003-05-01T20:23:19.677Z,    3.13
2003-05-01T20:25:49.540Z,    3.23
2003-05-01T20:28:19.403Z,    3.27
2003-05-01T20:30:49.273Z,    2.29
2003-05-01T20:33:19.134Z,    2.99
2003-05-01T20:35:48.998Z,    3.48
2003-05-01T20:38:18.868Z,    3.34
2003-05-01T20:40:48.728Z,    3.26
2003-05-01T20:43:18.597Z,    5.24
2003-05-01T20:45:48.462Z,    2.64
2003-05-01T20:48:18.325Z,    2.31
2003-05-01T20:50:48.190Z,    2.79
2003-05-01T20:53:18.054Z,    3.40
2003-05-01T20:55:47.915Z,    2.77
2003-05-01T20:58:17.782Z,    2.95
2003-05-01T21:00:47.647Z,    3.14
2003-05-01T21:03:17.510Z,    2.83
2003-05-01T21:05:47.374Z,    2.82
2003-05-01T21:08:17.240Z,    3.02
2003-05-01T21:10:47.107Z,    3.63
2003-05-01T21:13:16.965Z,    3.16
2003-05-01T21:15:46.833Z,    3.08
2003-05-01T21:18:16.698Z,    3.98
2003-05-01T21:20:46.564Z,    3.43
2003-05-01T21:23:16.429Z,    2.85
2003-05-01T21:25:46.294Z,    2.57
2003-05-01T21:28:16.154Z,    3.52
2003-05-01T21:30:46.024Z,    3.15
2003-05-01T21:33:15.889Z,    2.63
2003-05-01T21:35:45.754Z,    2.97
2003-05-01T21:38:15.625Z,    2.76
2003-05-01T21:40:45.485Z,    3.02
2003-05-01T21:43:15.348Z,    3.02
2003-05-01T21:45:45.215Z,    2.77
2003-05-01T21:48:15.077Z,    2.70
2003-05-01T21:50:44.946Z,    3.22
2003-05-01T21:53:14.812Z,    2.65
2003-05-01T21:55:44.675Z,    2.18
2003-05-01T21:58:14.541Z,    2.65
2003-05-01T22:00:44.406Z,    2.83
2003-05-01T22:03:14.272Z,    2.67
2003-05-01T22:05:44.140Z,    2.40
2003-05-01T22:08:14.002Z,    2.60
2003-05-01T22:10:43.864Z,    2.67
2003-05-01T22:13:13.731Z,    2.78
2003-05-01T22:15:43.599Z,    2.34
2003-05-01T22:18:13.460Z,    2.96
2003-05-01T22:20:43.327Z,    2.90
2003-05-01T22:23:13.187Z,    3.15
2003-05-01T22:25:43.052Z,    2.71
2003-05-01T22:28:12.918Z,    3.75
2003-05-01T22:30:42.787Z,    2.78
2003-05-01T22:33:12.650Z,    3.34
2003-05-01T22:35:42.514Z,    2.62
2003-05-01T22:38:12.383Z,    3.29
2003-05-01T22:40:42.245Z,    2.93
2003-05-01T22:43:12.115Z,    2.54
2003-05-01T22:45:41.977Z,    2.45
2003-05-01T22:48:11.840Z,    4.10
2003-05-01T22:50:41.704Z,    2.31
2003-05-01T22:53:11.572Z,    3.92
2003-05-01T22:55:41.439Z,    3.44
2003-05-01T22:58:11.301Z,    3.07
2003-05-01T23:00:41.162Z,    1.85
2003-05-01T23:03:11.028Z,    3.14
2003-05-01T23:05:40.893Z,    3.15
2003-05-01T23:08:10.761Z,    3.25
2003-05-01T23:10:40.623Z,    3.39
2003-05-01T23:13:10.488Z,    2.74
2003-05-01T23:15:40.353Z,    3.02
2003-05-01T23:18:10.218Z,    3.74
2003-05-01T23:20:40.083Z,    3.03
2003-05-01T23:23:09.944Z,    2.77
2003-05-01T23:25:39.812Z,    3.07
2003-05-01T23:28:09.673Z,    3.27
2003-05-01T23:30:39.540Z,    2.75
2003-05-01T23:33:09.406Z,    2.59
2003-05-01T23:35:39.270Z,    2.80
2003-05-01T23:38:09.135Z,    2.87
2003-05-01T23:40:38.995Z,    3.17
2003-05-01T23:43:08.861Z,    3.02
2003-05-01T23:45:38.730Z,    3.19
2003-05-01T23:48:08.593Z,    3.07
2003-05-01T23:50:38.454Z,    2.94
2003-05-01T23:53:08.317Z,    2.83
2003-05-01T23:55:38.186Z,    2.87
2003-05-01T23:58:08.047Z,    3.12
2003-05-02T00:00:37.916Z,    2.87
2003-05-02T00:03:07.778Z,    3.18
2003-05-02T00:05:37.641Z,    3.26
2003-05-02T00:08:07.505Z,    3.13
2003-05-02T00:10:37.373Z,    2.81
